nurses_no,hits,time,cache_enabled
11,0,1018839125,False
11,0,730758375,False
11,0,715475125,False
11,0,722485750,False
11,0,726074000,False
11,0,709317583,False
11,0,707398625,False
11,0,744358500,False
11,0,767263834,False
11,0,760113167,False
11,0,703855291,False
11,0,706756792,False
11,0,709991333,False
11,0,703497333,False
11,0,720854708,False
11,0,737619083,False
11,0,732149667,False
11,0,723276917,False
11,0,719954625,False
11,0,728305792,False
11,0,721750792,False
11,0,722384500,False
11,0,723427334,False
11,0,725545375,False
11,0,725109416,False
11,0,723023667,False
11,0,725529084,False
11,0,725824959,False
11,0,724966416,False
11,0,723204708,False
11,0,722474500,False
11,0,715682792,False
11,0,744686958,False
11,0,816478958,False
11,0,730759709,False
11,0,740534209,False
11,0,738517791,False
11,0,718002500,False
11,0,723852167,False
11,0,723710042,False
11,0,734650625,False
11,0,720698334,False
11,0,717160375,False
11,0,708631500,False
11,0,722063291,False
11,0,711518917,False
11,0,735917333,False
11,0,712550000,False
11,0,713687167,False
11,0,743824125,False
11,0,733407667,False
11,0,739998917,False
11,0,754885084,False
11,0,731511917,False
11,0,714636583,False
11,0,728195166,False
11,0,726303042,False
11,0,744918250,False
11,0,737598041,False
11,0,740081750,False
11,0,725527834,False
11,0,727629500,False
11,0,726490125,False
11,0,700817959,False
11,0,697956875,False
11,0,725061875,False
11,0,720054417,False
11,0,701683709,False
11,0,713618417,False
11,0,695946833,False
11,0,733238583,False
11,0,707815917,False
11,0,694732792,False
11,0,696235625,False
11,0,700543375,False
11,0,784927958,False
11,0,744052792,False
11,0,742366750,False
11,0,744149834,False
11,0,796075708,False
11,0,709843375,False
11,0,930557833,False
11,0,764963291,False
11,0,820220000,False
11,0,722574167,False
11,0,700792458,False
11,0,699227291,False
11,0,700437250,False
11,0,741507375,False
11,0,718498667,False
11,0,731151375,False
11,0,705626000,False
11,0,701293542,False
11,0,704716250,False
11,0,717733542,False
11,0,708139542,False
11,0,712959250,False
11,0,720263500,False
11,0,724271042,False
11,0,708374166,False
11,0,707066875,False
11,0,709217083,False
11,0,707119541,False
11,0,705631250,False
11,0,723232542,False
11,0,696396709,False
11,0,695746625,False
11,0,717491500,False
11,0,698627417,False
11,0,711647584,False
11,0,696343542,False
11,0,696044083,False
11,0,692545541,False
11,0,693866333,False
11,0,695859125,False
11,0,693442708,False
11,0,693363334,False
11,0,697554875,False
11,0,790913959,False
11,0,695312625,False
11,0,693004375,False
11,0,743816917,False
11,0,781630792,False
11,0,752835958,False
11,0,716615917,False
11,0,727458500,False
11,0,726732042,False
11,0,711262834,False
11,0,725820917,False
11,0,700677208,False
11,0,704734958,False
11,0,833974417,False
11,0,703398209,False
11,0,719553208,False
11,0,719956875,False
