Iteration	 Fatigue
0	5.412307692307693
1	5.483846153846153
2	5.481538461538462
3	5.438461538461538
4	5.501923076923077
5	5.563846153846153
6	5.501153846153847
7	5.371153846153846
8	5.219230769230769
9	5.138076923076922
10	5.039615384615384
11	5.068461538461539
12	5.061923076923077
13	5.0346153846153845
14	4.99923076923077
15	4.848076923076923
16	4.848076923076923
17	4.848076923076923
18	4.728461538461539
19	4.7215384615384615
20	4.7069230769230765
21	4.704230769230769
22	4.6996153846153845
23	4.699230769230769
24	4.697692307692308
25	4.694615384615385
26	4.688846153846153
27	4.684230769230769
28	4.678076923076923
29	4.676923076923077
30	4.62
31	4.62
32	4.618846153846154
33	4.618846153846154
34	4.618076923076924
35	4.618076923076924
36	4.618076923076924
37	4.617692307692308
38	4.617692307692308
39	4.617692307692308
40	4.617692307692308
41	4.617692307692308
42	4.617692307692308
43	4.617692307692308
44	4.617307692307692
45	4.598076923076923
46	4.598076923076923
47	4.598076923076923
48	4.598076923076923
49	4.598076923076923
50	4.598076923076923
51	4.599197105297911
